Id	|	Name	|	Description
1	|	Stench	|	By releasing a stench when attacking, the Pokémon may cause the target to flinch.
2	|	Drizzle	|	The Pokémon makes it rain when it enters a battle.
3	|	Speed-Boost	|	The Pokémon's Speed stat is boosted every turn.
4	|	Battle-Armor	|	Hard armor protects the Pokémon from critical hits.
5	|	Sturdy	|	The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
6	|	Damp	|	The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.
7	|	Limber	|	The Pokémon's limber body prevents it from being paralyzed.
8	|	Sand-Veil	|	Boosts the Pokémon's evasiveness in a sandstorm.
9	|	Static	|	The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
10	|	Volt-Absorb	|	If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage.
11	|	Water-Absorb	|	If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage.
12	|	Oblivious	|	The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate.
13	|	Cloud-Nine	|	Eliminates the effects of weather.
14	|	Compound-Eyes	|	The Pokémon's compound eyes boost its accuracy.
15	|	Insomnia	|	The Pokémon's insomnia prevents it from falling asleep.
16	|	Color-Change	|	The Pokémon’s type becomes the type of the move used on it.
17	|	Immunity	|	The Pokémon's immune system prevents it from being poisoned.
18	|	Flash-Fire	|	If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves.
19	|	Shield-Dust	|	Protective dust shields the Pokémon from the additional effects of moves.
20	|	Own-Tempo	|	The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate.
21	|	Suction-Cups	|	The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
22	|	Intimidate	|	When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats.
23	|	Shadow-Tag	|	The Pokémon steps on the opposing Pokémon's shadows to prevent them from fleeing or switching out.
24	|	Rough-Skin	|	The Pokémon's rough skin damages attackers that make direct contact with it.
25	|	Wonder-Guard	|	Its mysterious power only lets supereffective moves hit the Pokémon.
26	|	Levitate	|	By floating in the air, the Pokémon receives full immunity to all Ground-type moves.
27	|	Effect-Spore	|	Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker.
28	|	Synchronize	|	If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition.
29	|	Clear-Body	|	Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
30	|	Natural-Cure	|	The Pokémon's status conditions are cured when it switches out.
31	|	Lightning-Rod	|	The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.
32	|	Serene-Grace	|	Raises the likelihood of additional effects occurring when the Pokémon uses its moves.
33	|	Swift-Swim	|	Boosts the Pokémon's Speed stat in rain.
34	|	Chlorophyll	|	Boosts the Pokémon's Speed stat in harsh sunlight.
35	|	Illuminate	|	By illuminating its surroundings, the Pokémon prevents its accuracy from being lowered.
36	|	Trace	|	When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.
37	|	Huge-Power	|	Doubles the Pokémon's Attack stat.
38	|	Poison-Point	|	Contact with the Pokémon may poison the attacker.
39	|	Inner-Focus	|	The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.
40	|	Magma-Armor	|	The Pokémon’s hot magma coating prevents it from being frozen.
41	|	Water-Veil	|	The Pokémon's water veil prevents it from being burned.
42	|	Magnet-Pull	|	Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.
43	|	Soundproof	|	Soundproofing gives the Pokémon full immunity to all sound-based moves.
44	|	Rain-Dish	|	The Pokémon gradually regains HP in rain.
45	|	Sand-Stream	|	The Pokémon summons a sandstorm when it enters a battle.
46	|	Pressure	|	Puts other Pokémon under pressure, causing them to expend more PP to use their moves.
47	|	Thick-Fat	|	The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.
48	|	Early-Bird	|	The Pokémon awakens from sleep twice as fast as other Pokémon.
49	|	Flame-Body	|	Contact with the Pokémon may burn the attacker.
50	|	Run-Away	|	Enables a sure getaway from wild Pokémon.
51	|	Keen-Eye	|	The Pokémon's keen eyes prevent its accuracy from being lowered.
52	|	Hyper-Cutter	|	The Pokémon's prized, mighty pincers prevent other Pokémon from lowering its Attack stat.
53	|	Pickup	|	The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.
54	|	Truant	|	Each time the Pokémon uses a move, it spends the next turn loafing around.
55	|	Hustle	|	Boosts the Pokémon's Attack stat but lowers its accuracy.
56	|	Cute-Charm	|	The Pokémon may infatuate attackers that make direct contact with it.
57	|	Plus	|	Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
58	|	Minus	|	Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.
59	|	Forecast	|	The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.
60	|	Sticky-Hold	|	The Pokémon's held items cling to its sticky body and cannot be removed by other Pokémon.
61	|	Shed-Skin	|	The Pokémon may cure its own status conditions by shedding its skin.
62	|	Guts	|	It's so gutsy that having a status condition boosts the Pokémon's Attack stat.
63	|	Marvel-Scale	|	The Pokémon's marvelous scales boost its Defense stat if it has a status condition.
64	|	Liquid-Ooze	|	The strong stench of the Pokémon's oozed liquid damages attackers that use HP-draining moves.
65	|	Overgrow	|	Powers up Grass-type moves when the Pokémon's HP is low.
66	|	Blaze	|	Powers up Fire-type moves when the Pokémon's HP is low.
67	|	Torrent	|	Powers up Water-type moves when the Pokémon's HP is low.
68	|	Swarm	|	Powers up Bug-type moves when the Pokémon's HP is low.
69	|	Rock-Head	|	Protects the Pokémon from recoil damage.
70	|	Drought	|	Turns the sunlight harsh when the Pokémon enters a battle.
71	|	Arena-Trap	|	Prevents opposing Pokémon from fleeing from battle.
72	|	Vital-Spirit	|	The Pokémon is full of vitality, and that prevents it from falling asleep.
73	|	White-Smoke	|	The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.
74	|	Pure-Power	|	Using its pure power, the Pokémon doubles its Attack stat.
75	|	Shell-Armor	|	A hard shell protects the Pokémon from critical hits.
76	|	Air-Lock	|	Eliminates the effects of weather.
77	|	Tangled-Feet	|	Boosts the Pokémon's evasiveness if it is confused.
78	|	Motor-Drive	|	The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.
79	|	Rivalry	|	The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.
80	|	Steadfast	|	The Pokémon's determination boosts its Speed stat every time it flinches.
81	|	Snow-Cloak	|	Boosts the Pokémon's evasiveness in snow.
82	|	Gluttony	|	If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.
83	|	Anger-Point	|	The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.
84	|	Unburden	|	Boosts the Speed stat if the Pokémon's held item is used or lost.
85	|	Heatproof	|	The Pokémon's heatproof body halves the damage taken from Fire-type moves.
86	|	Simple	|	Doubles the effects of the Pokémon's stat changes.
87	|	Dry-Skin	|	Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.
88	|	Download	|	The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
89	|	Iron-Fist	|	Powers up punching moves.
